system:index,B1,B2,B3,B4,B5,Latitude,Longitude,Pixel-Y,class,﻿Pixel-X,.geo
00000000000000000054,0.0252,0.0292,0.0418,0.0079,0.0045,49.74160223,-124.8816776,8199.5,spawn,9672.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,0.0252,0.0319,0.044,0.0078,0.0045,49.7415973,-124.8815392,8199.5,spawn,9673.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e,0.0214,0.024,0.0349,0.0089,0.0045,49.74138238,-124.8830848,8202.5,spawn,9662.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f,0.0214,0.0249,0.0364,0.0093,0.0045,49.74137745,-124.8829463,8202.5,spawn,9663.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bf,0.0214,0.0248,0.0339,0.0064,0.0045,49.74129267,-124.8830924,8203.5,spawn,9662.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0,0.0214,0.0286,0.0356,0.0091,0.0045,49.74128774,-124.8829539,8203.5,spawn,9663.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000086d,0.0196,0.0276,0.0429,0.0075,0.0045,49.69294918,-124.8472353,8726.5,spawn,9950.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ec,0.027,0.033,0.0465,0.0089,0.0046,49.74112409,-124.8808851,8204.5,spawn,9678.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ed,0.027,0.0312,0.048,0.0087,0.0046,49.74111916,-124.8807466,8204.5,spawn,9679.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000107,0.027,0.0323,0.0475,0.0089,0.0046,49.74103438,-124.8808927,8205.5,spawn,9678.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000108,0.027,0.0345,0.0468,0.01,0.0046,49.74102945,-124.8807542,8205.5,spawn,9679.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c,0.025,0.0302,0.0438,0.0071,0.0046,49.74080468,-124.8820229,8208.5,spawn,9670.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013d,0.025,0.0322,0.0454,0.0079,0.0046,49.74079975,-124.8818845,8208.5,spawn,9671.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
